id,kode_3_digit_id,kode_4_digit,judul,deskripsi
11,2,0124,Pertanian Buah Apel dan Buah Batu (Pome and Stone Fruits),"Subgolongan ini mencakup : - Pertanian buah apel dan buah batu, seperti apel, aprikot, cherry, peach dan nectarine, pear dan quince, plum dan sloe, markisa dan buah delima, dan buah batu lainnya"
12,2,0125,Pertanian Sayuran dan Buah Semak dan Buah Biji Kacang-Kacangan Lainnya,"Subgolongan ini mencakup : - Pertanian buah beri, seperti blueberry, kismis, gooseberry, kiwi, raspberry, strawberry dan beri lainnya - Pembibitan buah - Pertanian tanaman buah biji kacang-kacangan yang dapat dimakan, seperti almond, kacang mede, chestnut, kenari, walnut dan kacang-kacangan yang lain - Pertanian pohon dan tanaman buah semak lainnya- Locust beans Subgolongan ini tidak mencakup : - Perkebunan kelapa, lihat 0126"
13,2,0126,Perkebunan buah-buahan penghasil minyak (oleaginous),"Subgolongan ini mencakup : - Perkebunan buah oleaginous, seperti kelapa, buah zaitun, kelapa sawit dan buah oleaginous lain Subgolongan ini tidak mencakup : - Pertanian kedelai, kacang tanah, dan biji penghasil minyak lainnya, lihat 0111"
14,2,0127,Pertanian Tanaman Untuk Bahan Minuman,"Subgolongan ini mencakup : - Pertanian tanaman untuk bahan minuman, seperti kopi, teh, mate, kakao dan tanaman untuk bahan minuman lainnya"
15,2,0128,"Perkebunan tanaman rempah-rempah, aromatik/penyegar, narkotik dan obat","Subgolongan ini mencakup : - Perkebunan tanaman rempah-rempah dan aromatik semusim dan tahunan, seperti merica atau lada (piper spp), cabe (capsicum spp), pala, bunga pala dan kapulaga, minyak adas manis, badian dan adas, kayu manis (canella), cengkeh, jahe, vanilla dan tanaman rempah dan aromatik lainnya - Perkebunan tanaman obat dan narkotika- Perkebunan tanaman yang digunakan untuk parfum, keperluan kedokteran/farmasi atau untuk insektisida, fungisida dan sejenisnya"
16,2,0129,Perkebunan tanaman tahunan lainnya,"Subgolongan ini mencakup : - Perkebunan pohon karet - Perkebunan pohon cemara- Perkebunan pohon penghasil getah Subgolongan ini tidak mencakup : - Pengumpulan getah pohon atau getah karet liar, lihat 0230"
17,3,0130,Pertanian Tanaman Hias Dan Pengembangbiakan Tanaman,"Subgolongan ini mencakup produksi semua bibit tanaman secara vegetatif termasuk batang stek, potongan, dan pembibitan untuk kelangsungan pengembangbiakan tanaman atau membuat batang okulasi tanaman pada keturunannya terpilih yang diokulasi yang pada akhirnya ditanam untuk menghasilkan tanaman. Subgolongan ini mencakup : - Penanaman tumbuhan untuk ditanam kembali - Penanaman tumbuhan untuk tujuan ornamen atau tanaman hias, termasuk tanah berumput untuk transplantasi - Penanaman tumbuhan hidup untuk umbi-umbian, akar-akaran"
18,4,0141,Peternakan sapi dan kerbau,Subgolongan ini mencakup :- Pembibitan dan budidaya sapi dan kerbau- Produksi susu sapi dan kerbau- Produksi semen dan embrio sapi dan kerbau
19,4,0142,Peternakan kuda dan sejenisnya,"Subgolongan ini mencakup :- Pembibitan dan budidaya kuda, keledai, bagal atau hinni - Produksi susu kuda dan sejenisnya- Produksi semen dan embrio kuda dan sejenisnyaSubgolongan ini tidak mencakup : - Pengoperasian fasilitas pacuan kuda, lihat 9311"
20,4,0143,Peternakan unta dan sejenisnya,"Subgolongan ini mencakup : - Pembibitan dan budidaya unta dan sejenisnya seperti llama, alpacas, vicunas, guanacos - Produksi susu unta dan sejenisnya- Produksi semen dan embrio unta dan sejenisnya"
21,4,0144,Peternakan domba dan kambing,"Subgolongan ini mencakup : - Pembibitan dan budidaya domba dan kambing - Produksi susu domba dan kambing - Produksi bulu wol mentah - Produksi semen dan embrio domba dan kambingSubgolongan ini tidak mencakup : - Pencukuran domba atas dasar balas jasa atau kontrak, lihat 0162 - Produksi pulled wool, lihat 1011 - Pengolahan susu, lihat 1051 dan 1052"
22,4,0145,Peternakan babi,Subgolongan ini mencakup : - Pembibitan dan budidaya babi - Produksi semen dan embrio babi
23,4,0146,Peternakan unggas,"Subgolongan ini mencakup : - Pembibitan dan budidaya unggas, seperti ayam, itik, angsa, kalkun, unggas lainnya - Produksi telur - Penetasan telurSubgolongan ini tidak mencakup : - Produksi bulu, lihat 1012"
24,4,0149,Peternakan lainnya,"Subgolongan ini mencakup : - Pembibitan dan budidaya hewan semi-domestik atau hewan lainnya, seperti burung unta dan emu, serangga dan kelinci dan hewan berbulu - Produksi kulit bulu, reptil atau kulit burung dari peternakan atau pertanian - Pengoperasian peternakan cacing, bekicot dan keong darat - Pembibitan dan budidaya ulat sutera dan produksi kepompong ulat sutera - Pengoperasian peternakan lebah dan produksi madu dan lilin tawon lebah - Pembibitan dan budidaya hewan peliharaan (kecuali ikan), seperti kucing dan anjing, burung, seperti parkit, hamster dan hewan peliharaan lainnya - Pembibitan dan budidaya bermacam-macam hewan lainnya Subgolongan ini tidak mencakup : - Produksi kulit dan kulit asli dari berburu dan pemasangan perangkap, lihat 0171 - Pengoperasian peternakan cacing laut, katak dan buaya, lihat 0321, 0322 - Pengoperasian peternakan ikan, lihat 0321, 0322- Pelatihan hewan peliharaan, lihat 9699"
25,5,0161,Jasa penunjang pertanian,"Subgolongan ini mencakup kegiatan jasa penunjang pertanian atas dasar balas jasa atau kontrak. Subgolongan ini mencakup : - Jasa penyiapan lahan pertanian - Jasa penanaman lahan pertanian - Jasa pemeliharaan lahan pertanian - Jasa penyiraman lahan pertanian, termasuk penyiraman lahan melalui udara - Jasa perapihan (trimming) pohon buah dan anggur - Jasa transplantasi padi dan bit - Jasa pemanenan - Jasa pengendalian hama (termasuk kelinci) dalam hubungannya dengan pertanian - Jasa pengoperasian peralatan irigasi pertanian - Jasa penyediaan perlengkapan mesin pertanian dengan operator - Jasa pemeliharaan kondisi lahan agar baik digunakan untuk pertanian Subgolongan ini tidak mencakup : - Kegiatan pasca panen hasil pertanian, lihat 0163- Kegiatan agronomi dan ekonomi pertanian, lihat 7490- Arsitektur pertamanan, lihat 7110- Pertamanan, lihat 8130- Pemeliharaan lahan untuk menjaganya dalam keadaan ekologi yang baik, lihat 8130 - Organisasi pameran dan dagang hasil pertanian, lihat 8230"
26,5,0162,Jasa penunjang peternakan,"Subgolongan ini mencakup jasa penunjang peternakan atas dasar balas jasa atau kontrak. Subgolongan ini mencakup : - Kegiatan peningkatan perkembangbiakan, pertumbuhan dan hasil peternakan - Jasa penggembalaan ternak - Jasa pembersihan kandang - Jasa Pengebirian Unggas - Kegiatan yang berhubungan dengan inseminasi buatan - Jasa pelayanan kuda biak - Jasa pencukuran domba - Jasa penyediaan tempat atau kandang untuk hewan ternak termasuk pemeliharaannya - Kegiatan farrier (tukang tapal kuda) - Kegiatan Transfer embrio, pemeriksaan kebuntingan Subgolongan ini tidak mencakup : - Penyediaan tempat atau kandang untuk hewan ternak tanpa pemeliharaannya, lihat 6811- Kegiatan dokter hewan, lihat 7500 - Vaksinasi hewan, lihat 7500 - Penyewaan hewan, lihat 7739 - Kegiatan untuk mempromosikan perburuan dan pemasangan perangkap untuk umum (komersil), lihat 9499 - Tempat penitipan hewan piaraan, lihat 9699"
27,5,0163,Jasa pasca panen,"Subgolongan ini mencakup : - Penyiapan hasil pertanian untuk dijual, seperti pembersihan, pengupasan, sortasi, disinfektan - Pemisahan biji kapas- Penyiapan daun tembakau- Penyiapan biji cokelat- Pemberian lilin pada buah-buahan- Penjemuran sayuran dan buah-buahan Subgolongan ini tidak mencakup : - Penyiapan produk pertanian oleh petani, lihat golongan 011 atau 012- Pengawetan buah-buahan dan sayuran, termasuk pengeringan dengan cara buatan, lihat 1031 - Pembersihan dan pengeringan kembali tembakau, lihat 1209- Pemasaran oleh perdagangan komisi dan asosiasi kooperatif, lihat golongan pokok 46 - Perdagangan besar hasil pertanian, lihat 4620"
28,5,0164,Pemilihan benih tanaman untuk pengembangbiakan,"Subgolongan ini mencakup semua kegiatan pasca panen yang ditujukan untuk meningkatkan perkembangan kualitas benih melalui pemilahan material non benih, benih berukuran terlalu kecil, kerusakan mekanik atau kerusakan karena serangga dan benih yang belum matang, dan juga menjaga kelembaban benih ke kondisi aman untuk penyimpan benih. Kegiatan ini mencakup pengeringan, pembersihan, sortasi dan lainnya sampai benih dipasarkan. Pemeliharaan benih yang telah dimodifikasi juga termasuk di sini. Subgolongan ini tidak mencakup : - Penanaman biji, lihat golongan 011 dan 012- Pengolahan biji untuk menghasilkan minyak, lihat 1041- Penelitian untuk mengembangkan atau memodifikasi benih dalam bentuk baru, lihat 7210"
29,6,0171,Perburuan dan penangkapan satwa liar,"Subgolongan ini mencakup : - Perburuan dan penangkapan satwa liar untuk tujuan komersil- Penangkapan satwa liar (mati atau hidup) untuk makanan, bulu, kulit atau untuk penelitian, untuk ditempatkan dalam kebun binatang atau sebagai hewan peliharaan - Produksi kulit bulu binatang, reptil atau kulit burung dari kegiatan perburuan atau penangkapan- Penangkapan mamalia laut, seperti duyung, singa laut dan anjing laut- Produksi tanduk mamalia dan organ reptil atau hewan lainnya dari kegiatan perburuan dan penangkapan. Subgolongan ini tidak mencakup : - Produksi kulit bulu binatang, kulit reptil atau burung dari eksploitasi peternakan, lihat 0149 - Pembesaran binatang buruan di peternakan, lihat 0149- Penangkapan paus, lihat 0311- Produksi kulit asli dari rumah potong hewan, lihat 1011- Berburu untuk olahraga atau rekreasi dan kegiatan ybdi, lihat 9319- Kegiatan organisasi untuk mendukung perburuan dan penangkapan, lihat 9499"
30,6,0172,Penangkaran Tumbuhan/Satwa Liar,"Kelompok ini mencakup usaha penangkaran, pembesaran, pembiakan dan penelitian untuk pelestarian tumbuhan/satwa liar, baik yang hidup di darat maupun di luar."
31,7,0211,Pemanfaatan Hutan Tanaman,"Subgolongan ini mencakup : - Penanaman pohon, mencakup kegiatan penanaman, penanaman kembali, transplantasi, penjarangan, konservasi hutan dan lahan untuk pohon - Penanaman belukar, pohon untuk bubur kertas dan kayu bakarKegiatan ini dapat dilakukan di dalam kawasan hutan atau di luar kawasan hutan (hutan rakyat). Mencakup kegiatan penanaman, pemeliharaan, perlindungan, pemanenan, dan pemasaran hutan tanaman. Kegiatan ini untuk usaha memanfaatkan kawasan hutan, memanfaatkan jasa lingkungan, memanfaatkan hasil hutan kayu.Subgolongan ini tidak mencakup : - Penanaman pohon natal/cemara, lihat 0129- Pengoperasian kebun bibit tanaman, lihat 0130- Pemungutan hasil hutan liar selain kayu, lihat 0230- Produksi keping dan partikel kayu, lihat 1610"
32,7,0212,Pemanfaatan Hutan Alam,"Subgolongan ini mencakup usaha yang terpadu antara kegiatan pemanenan kayu dengan batas diameter, pengolahan, pemasaran, penanaman kembali serta pemeliharaan tanaman dari jenis-jenis alami, seperti meranti, kruing, pulai, ramin, kayu besi, kayu hitam, ulin dan sebagainya. Termasuk juga usaha pengangkutan kayu yang dilakukan oleh pengusaha hutan itu sendiri. Kegiatan ini usaha untuk memanfaatkan kawasan hutan, memanfaatkan jasa lingkungan, memanfaatkan hasil hutan kayu."
33,7,0213,Pemanfaatan Hasil Hutan Bukan Kayu,"Subgolongan ini mencakup pemanfaatan hasil hutan bukan kayu yang meliputi penanaman atau pengayaan, pemeliharaan, pemanenan atau penebangan hasil seperti rotan, getah pinus, daun kayu putih, bambu, damar, gaharu, dan atau hasil hutan bukan kayu lainnya."
34,7,0214,Pengusahaan Perbenihan Tanaman Kehutanan,"Subgolongan ini mencakup usaha pengadaan benih dan/atau pembuatan bibit tanaman hutan dan pemeliharaannya sampai dengan umur tertentu untuk ditanam dengan tujuan komersil. Jenis benih/bibit tanaman kayu kehutanan seperti jati, pinus, mahoni, sonokeling, sengon/albasia/jeunjing, jabon, akasia, ekalitus, cendana, dan tanaman kayu kehutanan lainnya."
35,8,0220,Pemanenan dan Pemungutan Kayu,"Subgolongan ini mencakup : - Produksi kayu bulat untuk industri pengolahan - Produksi kayu bulat digunakan dalam bentuk yang tidak diolah, seperti pit-props, tonggak pagar dan tiang listrik atau telepon - Pengumpulan dan produksi kayu bakar - Produksi arang di hutan dengan cara tradisional Hasil dari kegiatan ini dapat berupa batang kayu, serbuk/serpih kayu atau kayu bakar. Subgolongan ini tidak mencakup : - Penanaman pohon cemara, lihat 0129- Penanaman pohon, seperti penanaman, penanaman kembali, transplantasi, penjarangan dan konservasi hutan dan lajur pohon, lihat golongan 021 - Pemungutan hasil hutan liar selain kayu, lihat 0230- Produksi keping kayu dan partikel kayu yang tidak berhubungan dengan penebangan kayu, lihat 1610 - Produksi arang melalui distilasi (penyulingan) kayu, lihat 2011"
36,9,0230,Pemungutan hasil hutan bukan kayu,"Subgolongan ini mencakup pemungutan hasil hutan bukan kayu dan tanaman lain yang tumbuh liar. Subgolongan ini mencakup : - Pemungutan tanaman lain yang tumbuh liar, seperti balata dan getah karet, getah pinus, rotan, daun tanaman kayu putih, lak dan damar, kepompong ulat sutera - Termasuk juga pemungutan jamur, truffle, berri, kacang, gabus, balsem, vegetable hair, eelgrass, buah dan biji pohon ek, horse chestnuts dan lumut dan tanaman sejenisnya. - Termasuk juga pemungutan gaharu, buah-buahan, akar-akaran, daun-daunan yang tumbuh liar.Subgolongan ini tidak mencakup : - Pertanian produk tersebut di atas (kecuali penanaman pohon cork/gabus), lihat golongan pokok 01 - Pertanian jamur dan truffles, lihat 0113- Pertanian beri dan kacang, lihat 0125- Pengumpulan kayu bakar, lihat 0220"
37,10,0240,Jasa penunjang kehutanan,"Subgolongan ini mencakup pengerjaan bagian kegiatan kehutanan atas dasar balas jasa atau kontrak. Subgolongan ini mencakup : - Kegiatan jasa kehutanan, seperti perencanaan kehutanan, jasa konsultasi manajemen kehutanan atau tataguna lahan, perlindungan hutan dan pelestarian alam, reboisasi dan rehabilitasi, pengevaluasian kayu, pemadaman kebakaran hutan dan pengendalian hama - Kegiatan jasa pemanenan kayu, seperti pengangkutan kayu di dalam hutan Subgolongan ini tidak mencakup : - Pengoperasian kebun bibit tanaman hutan, lihat 0214"
38,11,0311,Penangkapan ikan di laut,"Subgolongan ini mencakup :  - Penangkapan ikan berdasar tujuan komersial di samudra dan pesisir- Pengambilan crustacea laut dan mollusca laut- Penangkapan paus- Pengambilan binatang laut seperti kura-kura, binatang laut (squirt laut, tunicate), bulu babi dan lain-lain  - Kegiatan kapal yang digunakan baik untuk menangkap ikan maupun pengolahan dan pengawetan ikan  - Pengumpulan organisme laut lain dan material lain seperti mutiara alam, terumbu karang dan batu karang, bunga karang dan alga    Subgolongan ini tidak mencakup : - Penangkapan mamalia laut kecuali paus, seperti duyung, singa laut dan anjing laut, lihat 0171  - Pengolahan ikan, crustacea dan mollusca di pabrik baik di kapal maupun di darat, lihat golongan 102  - Penyewaan kapal pesiar dengan kru untuk angkutan laut (misal untuk pelayaran), lihat 5011  - Jasa patroli, pemeriksaan, perlindungan penangkapan ikan, lihat 8423- Aktivitas memancing untuk olahraga atau rekreasi dan jasa ybdi, lihat 9319, 9324- Pengoperasian fasilitas pemancingan untuk olahraga, lihat 9319"
39,11,0312,Penangkapan Ikan Di Perairan Darat,"Subgolongan ini mencakup:  - Penangkapan ikan bersirip atau pisces di perairan darat  - Pengambilan crustacea dan mollusca di perairan darat  - Pengambilan binatang/biota di perairan darat  - Pengumpulan biota lain di perairan darat    Subgolongan ini tidak mencakup:  - Pengolahan ikan, crustacea, dan mollusca, lihat 1021, 1022, 1029  - Jasa Patroli, pemeriksaan, perlindungan penangkapan ikan, lihat 8423 - Aktivitas memancing untuk olahraga atau rekreasi dan jasa ybdi, lihat 9319, 9324- Pengoperasian fasilitas pemancingan untuk olahraga, lihat 9319"
40,11,0313,Jasa Penangkapan Ikan Di laut,"Subgolongan ini mencakup: - Jasa sarana produksi penangkapan ikan di laut yang dilakukan atas dasar balas jasa (fee) atau kontrak - Jasa produksi penangkapan ikan di laut yang dilakukan atas dasar balas jasa (fee) atau kontrak - Jasa pasca panen penangkapan ikan di laut yang dilakukan atas dasar balas jasa (fee) atau kontrak Subgolongan ini tidak mencakup: - Penyewaan kapal pesiar dengan kru untuk angkutan laut (misal untuk pelayaran), lihat 5011 - Jasa patroli, pemeriksaan, perlindungan penangkapan ikan, lihat 8423 - Aktivitas memancing untuk olahraga atau rekreasi dan jasa ybdi, lihat 9319, 9324 - Pengoperasian fasilitas pemancingan untuk olahraga, lihat 9319"
41,11,0314,Jasa Ã‚ penangkapan ikan di perairan darat,"Subgolongan ini mencakup :  - Jasa  sarana produksi penangkapan ikan di perairan darat yang dilakukan atas dasar balas jasa (fee) atau kontrak  - Jasa  produksi penangkapan ikan di perairan darat yang dilakukan atas dasar balas jasa (fee) atau kontrak  - Jasa  pasca panen penangkapan ikan di perairan darat yang dilakukan atas dasar balas jasa (fee) atau kontrak    Subgolongan ini tidak mencakup :  -  Jasa patroli, pemeriksaan, perlindungan penangkapan ikan, lihat 8423  -  Aktivitas memancing untuk olahraga atau rekreasi dan jasa ybdi, lihat 9319, 9324   -  Pengoperasian fasilitas pemancingan untuk olahraga, lihat 9319"
42,11,0315,Penangkapan/Pengambilan Jenis Ikan yang Dilindungi dan/atau Termasuk Dalam Appendiks CITES,"Sub Golongan ini mencakup kegiatan penangkapan/pengambilan jenis ikan dilindungi dan/atau Appendiks CITES sesuai ketentuan perlindungannya pada taksa pisces, crustacea, mollusca, coelenterata, echinodermata, amphibia, reptilia, algae dan biota perairan lainnya yang hidup di laut, air tawar dan air payau untuk kegiatan penelitian dan pengembangan komersial, pengembangbiakan, perdagangan/peredaran, aquaria, pertukaran dan pemeliharaan untuk kesenangan."
43,12,0321,Budidaya ikan laut,"Subgolongan ini mencakup kegiatan memelihara, membesarkan dan membiakkan ikan di air laut dan payau dengan menggunakan lahan, perairan/media air laut dan fasilitas buatan lainnya serta memanen hasilnya. Subgolongan ini mencakup : - Budidaya ikan di air laut termasuk budidaya ikan hias air laut- Budidaya tiram dan remis, lobster, udang, anak-anak ikan, dan fingerling- Budidaya ganggang laut dan rumput laut lainnya yang dapat dimakan- Budidaya crustacea, tiram atau remis, mollusca lain dan binatang air lain di air laut Subgolongan ini juga mencakup : - Kegiatan budidaya di air asin dalam tangki atau waduk- Pengoperasian penetasan ikan (laut)- Pengoperasian pertanian cacing laut Subgolongan ini tidak mencakup : - Budidaya katak, lihat 0322- Pengoperasian fasilitas pemancingan untuk olahraga, lihat 9319"
44,12,0322,Budidaya Ikan Air Tawar,"Subgolongan ini mencakup :  - Budidaya ikan bersirip di perairan darat termasuk budidaya ikan hias  - Budidaya crustacea, mollusca dan biota air tawar lainnya di perairan darat- Pengoperasian pembenihan ikan air tawar  - Budidaya katak    Subgolongan ini tidak mencakup :  - Kegiatan budidaya laut di dalam bak atau laguna, lihat 0321  - Pengoperasian pemancingan untuk olahraga, lihat 9319"
45,12,0323,Jasa Budidaya Ikan Laut,Subgolongan ini mencakup : - Jasa sarana produksi budidaya ikan laut yang dilakukan atas dasar balas jasa (fee) atau kontrak - Jasa produksi budidaya ikan laut yang dilakukan atas dasar balas jasa (fee) atau kontrak - Jasa pasca panen budidaya ikan laut yang dilakukan atas dasar balas jasa (fee) atau kontrak
46,12,0324,Jasa Budidaya Ikan Air tawar,"Subgolongan ini mencakup : - Jasa sarana produksi budidaya ikan yang dilakukan atas dasar balas jasa (fee) atau kontrak - Jasa produksi budidaya ikan yang dilakukan atas dasar balas jasa (fee) atau kontrak - Jasa pasca panen budidaya ikan yang dilakukan atas dasar balas jasa (fee) atau kontrak Subgolongan ini tidak mencakup : - Budidaya di air asin dalam tangki atau waduk, lihat 0321 - Pengoperasian fasilitas pemancingan untuk olahraga, lihat 9319"
47,12,0325,Budidaya Ikan Air Payau,"Subgolongan ini mencakup usaha pembenihan, pemeliharaan dan pembesaran serta pemanenan ikan air payau (bandeng, patin, nila, ikan mas dan kakap putih), udang windu, udang putih dan biota air payau lainnya (kepiting danrumput laut/Gracilaria) di air payau (tambak) dengan menggunakan lahan, perairan dan fasilitas buatan lainnya."
48,12,0326,Jasa Budidaya Ikan Air Payau,Subgolongan ini mencakup: - Jasa sarana produksi budidaya ikan di air payau yang dilakukan atas dasar balas jasa (fee) atau kontrak - Jasa produksi budidaya ikan di air payau yang dilakukan atas dasar balas jasa (fee) atau kontrak - Jasa pasca panen budidaya ikan di air payau yang dilakukan atas dasar balas jasa (fee) atau kontrak
49,12,0327,Pengembangbiakan Jenis Ikan yang Dilindungi dan/atau Termasuk dalam Appendiks CITES,"Sub Golongan ini mencakup pengembangbiakan/budidaya jenis ikan dari kelompok taksa pisces , crustacea , mollusca, coelenterata, echinodermata, amphibia, reptilia, algae dan biota perairan lainnya yang hidup di laut, air tawar dan air payau yang dilindungi terbatas diluar ketentuan perlindungannya dan/atau yang dibatasi pemanfaatannya sesuai ketentuan konvensi internasional yang diratifikasi untuk kegiatan penelitian dan pengembangan, pengembangbiakan, perdagangan, aquaria, pertukaran dan pemeliharaan untuk kesenangan."
50,13,0510,Pertambangan Batu Bara,"Subgolongan ini mencakup :- Pertambangan batu bara, seperti pertambangan di permukaan tanah atau bawah tanah, termasuk pertambangan dengan cara pencairan (liquefaction)- Pembersihan, perekatan, penghancuran, dan pemadatan batu bara muda untuk penggolongan, meningkatkan kualitas atau memudahkan pengangkutan dan penyimpanan- Pencarian batu bara dari kumpulan tepung bara (culm bank)Subgolongan ini tidak mencakup : - Pertambangan lignit, lihat 0520- Penggalian dan aglomerasi tanah gemuk (peat), lihat 0892- Pengeboran percobaan batu bara, lihat 0990- Jasa penunjang pertambangan batu bara, lihat 0990- Tungku kokas untuk memproduksi bahan bakar padat, lihat 1910- Industri pengolahan bahan bakar briket batu bara, lihat 1929- Pengembangkan atau penyiapan lahan untuk pertambangan batu bara, lihat 4312"
51,14,0520,Pertambangan lignit,"Subgolongan ini mencakup :- Pertambangan lignit, seperti pertambangan lignit di permukaan tanah atau bawah tanah, termasuk pertambangan dengan cara pencairan (liquefaction)- Pembersihan, perekatan, penghancuran dan pemadatan lignit untuk meningkatkan kualitas dan memudahkan pengangkutan dan penyimpananSubgolongan ini tidak mencakup : - Pertambangan batu bara, lihat 0510 - Penggalian tanah gemuk (peat), lihat 0892 - Uji pengeboran batu bara, lihat 0990 - Jasa penunjang pertambangan lignit, lihat 0990 - Industri pengolahan bahan bakar briket lignit, lihat 1929 - Pengembangkan atau penyiapan lahan untuk pertambangan batu bara, lihat 4312"
52,15,0610,Pertambangan minyak bumi,"Subgolongan ini mencakup :- Pertambangan minyak bumi mentah- Pertambangan bituminous atau oil shale (serpihan minyak) dan pasir aspal- Produksi minyak bumi mentah dari serpihan dan pasir bituminous- Produksi kondensat (minyak bumi dengan kadar karbon tinggi)- Pemrosesan untuk menghasilkan minyak mentah, seperti penampungan, penyaringan, pengeringan, stabilisasi dan lain-lainSubgolongan ini tidak mencakup :- Jasa penunjang pertambangan minyak dan gas, lihat 0910- Jasa eksplorasi minyak dan gas, lihat 0910- Industri pengolahan penyulingan minyak bumi, lihat 1921- Produksi LPG dari hasil penyulingan minyak bumi, lihat 1921- Pengoperasian saluran pipa, lihat 4930"
